rank bib last_name first_name country diff exec total qual
1 639 UCHIMURA Kohei JPN 6.500 9.275 15.775 Q
2 701 DRAGULESCU Marian ROU 6.600 9.125 15.725 Q
3 545 ZOU Kai CHN 6.700 8.975 15.675 Q
4 543 GONZALEZ SEPULVEDA CHI 6.600 8.975 15.575 Q
5 599 FAHRIG Matthias GER 6.600 8.925 15.525 Q
6 630 SHATILOV Alexander ISR 6.500 8.975 15.475 Q
7 735 LEGENDRE Steven USA 6.500 8.975 15.475 Q
8 641 OKIGUCHI Makoto JPN 6.700 8.725 15.425 Q
9 529 HYPOLITO Diego BRA 6.500 8.900 15.400 R
10 572 MARTINEZ Rafael ESP 6.400 8.975 15.375 R
11 670 WAMMES Jeffrey NED 6.400 8.950 15.350 R
12 598 NGUYEN Marcel GER 6.300 8.950 15.250
13 707 DEVYATOVSKIY Maxim RUS 6.000 9.150 15.150
14 729 KUKSENKOV Mykola UKR 6.000 9.075 15.075
15 594 PURVIS Daniel GBR 6.400 8.775 0.1 15.075
16 530 ROSA Victor BRA 6.000 8.950 14.950
17 722 PORCHET Claude Alain SUI 6.200 8.725 14.925
18 578 VEKKI Sakari FIN 5.800 9.050 14.850
19 646 GORBACHEV Stepan KAZ 5.800 9.025 14.825
20 720 BOESCHENSTEIN N. SUI 5.900 8.925 14.825
21 535 BATINKOV Aleksandar BUL 6.000 8.825 14.825
22 635 POZZO Enrico ITA 6.200 8.625 14.825
23 590 KEATINGS Daniel GBR 5.800 8.900 14.700
24 574 MUNOZ Sergio ESP 5.700 8.950 14.650
25 585 CARANOBE Benoit FRA 6.000 8.600 14.600
26 733 HORTON Jonathan USA 6.500 8.400 0.3 14.600
27 688 ALMEIDA CAMPOS M. POR 5.500 9.050 14.550
28 651 KIM Seungil KOR 5.600 8.950 14.550
29 573 BOTELLA PEREZ Isaac ESP 6.400 8.250 0.1 14.550
30 649 VALEIEV Ildar KAZ 5.400 9.100 14.500
31 727 STENBERG Mans SWE 5.800 8.800 0.1 14.500
