Eleftherios PETROUNIAS GRE
Arthur ZANETTI BRA
Artur TOVMASYAN ARM
Igor RADIVILOV UKR
Vahagn DAVTYAN ARM
Marco LODADIO ITA
Nikita SIMONOV AZE
Nikita NAGORNYY RUS
Dennis GOOSSENS BEL
Ibrahim COLAK TUR
Caio SOUZA BRA
LUNA de Fabian
Dmitrii LANKIN RUS
Samuel MIKULAK USA
Shudi DENG CHN
Ruoteng XIAO CHN
Marcel NGUYEN GER
Andreas TOBA GER
Nam DANG VIE
Vinzenz HOECK AUT
James HALL GBR
Artur DALALOYAN RUS
Wataru TANIGAWA JPN
Kazuma KAYA JPN
Wei SUN CHN
Nick KLESSING GER
Andrea RUSSO ITA
Kohei UCHIMURA JPN
Artur DAVTYAN ARM
Ahmet ONDER TUR
Andrei MUNTEAN Vasile
Marco SARRUGERIO ITA
Chaopan LIN CHN
Julien GOBAUX FRA
Akash MODI USA
Minsoo PARK KOR
Federico MOLINARI ARG
Didier LUGO COL
Kenzo SHIRAI JPN
Joe FRASER GBR
Carlos YULO Edriel
Cristian BATAGA Ioan
Nestor ABAD ESP
Brinn BEVAN GBR
Bart DEURLOO NED
Ruben LOPEZ ESP
David BELYAVSKIY RUS
Mustafa ARCA TUR
