rank bib last_name first_name country diff exec total qual
1 118 LIU Yang CHN 6.900 9.000 15.900 Q
2 146 PETROUNIAS Eleftherios GRE 6.800 9.033 15.833 Q
3 119 YOU Hao CHN 7.000 8.800 15.800 Q
4 175 ABLIAZIN Denis RUS 6.800 8.833 15.633 Q
5 113 ZANETTI Arthur BRA 6.700 8.833 15.533 Q
6 130 AIT SAID Samir FRA 6.800 8.733 15.533 Q
7 107 GOOSSENS Dennis BEL 6.600 8.766 15.366 Q
8 166 van GELDER Yuri NED 6.800 8.533 15.333 Q
9 188 RADIVILOV Igor UKR 6.800 8.508 15.308 R1
10 133 PINHEIRO RODRIGUES Danny FRA 6.900 8.366 15.266 R2
11 191 VERNIAIEV Oleg UKR 6.600 8.600 15.200 R3
12 123 LARDUET Manrique CUB 6.800 8.300 15.100
13 196 NADDOUR Alexander USA 6.400 8.600 15.000
14 139 WILSON Nile GBR 6.400 8.541 14.941
15 193 DALTON Jacob USA 6.400 8.500 14.900
16 179 NAGORNYY Nikita RUS 6.500 8.400 14.900
