rank bib last_name first_name country diff exec total qual
1 195 MIKULAK Samuel USA 6.800 9.000 15.800 Q
2 193 DALTON Jacob USA 6.700 8.900 15.600 Q
3 154 UCHIMURA Kohei JPN 6.900 8.633 15.533 Q
4 110 HYPOLITO Diego BRA 6.800 8.700 15.500 Q
4 138 WHITLOCK Max GBR 6.800 8.700 15.500 Q
6 152 SHIRAI Kenzo JPN 7.600 7.833 -0.1 15.333 Q
7 137 THOMAS Kristian GBR 6.200 9.033 15.233 Q
8 153 TANAKA Yusuke JPN 6.300 8.933 15.233
9 111 MARIANO Arthur BRA 6.400 8.800 15.200 Q
10 123 LARDUET Manrique CUB 6.500 8.700 15.200 R1
11 128 ZAPATA Rayderley Miguel ESP 6.700 8.383 15.083 R2
12 182 GISCHARD Benjamin SUI 6.400 8.666 15.066 R3
13 139 WILSON Nile GBR 6.500 8.566 15.066
14 115 GONZALEZ Tomas CHI 6.800 8.266 15.066
15 184 YUSOF Eddy SUI 6.300 8.733 15.033
16 151 KATO Ryohei JPN 6.700 8.333 15.033
17 116 DENG Shudi CHN 6.900 8.133 15.033
18 114 MORGAN Scott CAN 6.400 8.566 14.966
