rank bib last_name first_name country diff exec total qual
1 212 DAUSER Lukas GER 6.300 8.733 15.033 Q
2 370 PAKHNIUK Petro UKR 6.500 8.533 15.033 Q
3 204 FRASER Joe GBR 6.600 8.400 15.000 Q
4 156 XIAO Ruoteng CHN 6.200 8.766 14.966 Q
5 364 ARICAN Ferhat TUR 6.500 8.433 14.933 Q
6 155 SUN Wei CHN 6.200 8.600 14.800 Q
6 368 ONDER Ahmet TUR 6.200 8.600 14.800 Q
8 259 KAYA Kazuma JPN 6.300 8.500 14.800 Q
9 332 NAGORNYY Nikita RUS 6.400 8.400 14.800 R1
10 373 VERNIAIEV Oleg UKR 6.600 8.200 14.800 R2
11 331 DALALOYAN Artur RUS 6.400 8.333 14.733 R3
12 258 KAMOTO Yuya JPN 6.500 8.200 14.700
13 342 BRAEGGER Pablo SUI 6.200 8.466 14.666
14 140 SOUZA Caio BRA 6.100 8.533 14.633
15 261 TANIGAWA Kakeru JPN 6.200 8.433 14.633
16 158 ZOU Jingyuan CHN 6.300 8.333 14.633
17 341 BAUMANN Christian SUI 5.900 8.666 14.566
18 380 MODI Akash USA 6.100 8.433 14.533
19 153 DENG Shudi CHN 6.400 8.066 14.466
19 387 DINH Phuong Thanh VIE 6.400 8.066 14.466
21 187 MIR Nicolau ESP 5.800 8.633 14.433
22 309 YULO Carlos Edriel PHI 5.900 8.533 14.433
22 328 MUNTEAN Andrei Vasile ROU 5.900 8.533 14.433
22 344 HEGI Oliver SUI 5.900 8.533 14.433
25 381 MOLDAUER Yul USA 6.000 8.400 14.400
26 383 ABDURAKHIMOV Rasuljon UZB 5.600 8.733 14.333
27 294 ZONDERLAND Epke NED 5.900 8.433 14.333
28 379 MIKULAK Samuel USA 6.400 7.933 14.333
29 133 LIKHOVITSKIY Andrey BLR 5.500 8.766 14.266
30 149 PAYNE Jackson CAN 5.800 8.466 14.266
30 272 LEE Junghyo KOR 5.800 8.466 14.266
32 334 STRETOVICH Ivan RUS 5.900 8.366 14.266
32 346 YUSOF Eddy SUI 5.900 8.366 14.266
34 170 GEORGIOU Ilias CYP 5.400 8.700 14.100
35 283 TVOROGAL Robert LTU 5.600 8.500 14.100
36 188 PLATA Joel ESP 5.400 8.666 14.066
37 374 YUDENKOV Yevgen UKR 5.800 8.233 14.033
38 382 WISKUS Shane USA 6.000 8.033 14.033
39 178 NIN REYES Audrys DOM 5.300 8.725 14.025
40 143 ALEKSANDROV Yordan BUL 5.500 8.508 14.008
41 208 WHITLOCK Max GBR 5.300 8.700 14.000
42 185 ABAD Nestor ESP 5.500 8.500 14.000
43 148 PATERSON Cory CAN 5.600 8.400 14.000
43 270 KIM Hansol KOR 5.600 8.400 14.000
45 265 KARIMI Milad KAZ 5.800 8.200 14.000
46 355 LEE Chih Kai TPE 5.800 8.166 13.966
47 218 ILIOPOULOS Nikolaos GRE 5.400 8.500 13.900
48 246 EDALLI Ludovico ITA 5.800 8.100 13.900
