rank bib last_name first_name country diff exec total qual
1 713 POPESCU Ilie Daniel ROU 7.000 9.700 16.700
2 686 BLANIK Leszek POL 7.000 9.550 16.550
3 748 ISAYEV Andriy UKR 7.000 9.525 16.525
4 554 YANG Wei CHN 7.000 9.500 16.500
5 714 KOCZI Flavius ROU 7.000 9.500 16.500
6 712 SELARIU Dorin Razvan ROU 6.600 9.675 16.275
7 599 HAMBUECHEN Fabian GER 6.600 9.675 16.275
8 526 KASPIAROVICH Dimitri BLR 7.000 9.275 16.275
9 720 DEVIATOVSKI Maxim RUS 6.600 9.625 16.225
10 696 RI Se Gwang PRK 7.000 9.325 16.225
11 730 BOESCHENSTEIN N. SUI 6.600 9.600 16.200
12 639 OKIGUCHI Makoto JPN 7.000 9.300 16.200
13 750 KUVAKIN Vadym UKR 6.600 9.575 16.175
14 543 ONEILL Brandon CAN 6.600 9.550 16.150
15 590 KARBANENKO Dimitri FRA 6.600 9.525 16.125
16 579 DEFERR Gervasio ESP 6.600 9.525 16.125
17 577 MARTINEZ Rafael ESP 6.600 9.600 0.1 16.100
18 638 MIZUTORI Hisashi JPN 6.600 9.500 16.100
19 581 MUNOZ Sergio ESP 6.600 9.475 16.075
20 553 LIANG Fuliang CHN 6.600 9.475 16.075
20 646 YANG Tae­Young KOR 6.600 9.475 16.075
22 602 SPIRIDONOV Eugen GER 6.600 9.450 16.050
23 589 DA SILVA Gaël FRA 6.600 9.450 16.050
24 551 CHEN Yibing CHN 6.600 9.425 16.025
25 794 LAWRENCE Danny GBR 6.600 9.425 16.025
26 587 CARANOBE Benoit FRA 6.600 9.425 16.025
27 544 GAFUIK Nathan CAN 6.600 9.400 16.000
27 731 CAPELLI Claudio SUI 6.600 9.400 16.000
29 724 KRYUKOV Nikolai RUS 6.600 9.400 16.000
29 756 GOLDEN Sean USA 6.600 9.400 16.000
31 640 VALIYEV Stanislav KAZ 6.600 9.400 16.000
32 580 BOTELLA PEREZ Isaac ESP 6.600 9.475 15.975
33 601 JUCKEL Robert GER 6.600 9.475 0.1 15.975
34 674 WAMMES Jeffrey NED 6.600 9.475 15.975
35 628 ANGIOLETTI Matteo ITA 6.600 9.450 0.1 15.950
36 753 ARTEMEV Alexander USA 6.600 9.350 15.950
37 691 ARAUJO Luis POR 6.600 9.300 15.900
38 632 MORANDI Matteo ITA 6.600 9.300 15.900
39 548 GONZALEZ Tomas CHI 6.600 9.300 15.900
40 634 TOMITA Hiroyuki JPN 6.200 9.675 15.875
41 604 BOY Philipp GER 6.200 9.675 15.875
42 725 DIMIC Alen SLO 6.600 9.275 15.875
43 673 VAN GELDER Yuri NED 6.600 9.250 15.850
44 536 JOVTCHEV Jordan BUL 6.200 9.625 15.825
45 695 RI Jong Song PRK 7.000 9.125 15.825
46 613 HETROVICS Marcell HUN 6.600 9.225 15.825
47 783 BOGONOSYUK Evgeni UKR 6.600 9.225 15.825
48 608 DOULKERIDIS Michail GRE 6.200 9.600 15.800
49 573 SEROUR Mohamed EGY 7.000 8.900 15.800
50 595 KEATINGS Daniel GBR 6.200 9.550 15.750
51 705 RIVERA Luis PUR 6.200 9.550 15.750
52 530 HYPOLITO Diego BRA 6.600 9.450 15.750
53 560 UDE Filip CRO 6.200 9.525 15.725
