rank bib last_name first_name country diff exec total qual
1 554 YANG Wei CHN 7.000 9.375 16.375 Q
2 651 YOO Won Chul KOR 6.800 9.475 16.275 Q
3 727 PETKOVSEK Mitja SLO 6.600 9.625 16.225 Q
4 588 CUCHERAT Yann FRA 6.600 9.550 16.150 Q
5 758 FOKIN Anton UZB 6.700 9.425 16.125 Q
6 552 HUANG Xu CHN 7.100 8.950 16.050 Q
7 649 KIM Dae Eun KOR 6.800 9.225 16.025 Q
8 637 HOSHI Yosuke JPN 6.500 9.500 16.000 Q
9 724 KRYUKOV Nikolai RUS 6.600 9.400 16.000 R
10 634 TOMITA Hiroyuki JPN 6.700 9.300 16.000 R
11 646 YANG Tae­Young KOR 6.800 9.200 16.000
12 746 GONCHAROV Valeriy UKR 6.600 9.375 15.975 R
13 638 MIZUTORI Hisashi JPN 6.600 9.350 15.950
14 555 XIAO Qin CHN 6.500 9.375 15.875
15 525 SAVITSKI Dzmitry BLR 6.400 9.425 15.825
16 635 KUWAHARA Shun JPN 6.900 8.925 15.825
17 527 TSAREVICH Aliaksandr BLR 6.400 9.300 15.700
18 589 DA SILVA Gaël FRA 6.500 9.200 15.700
19 543 ONEILL Brandon CAN 6.400 9.275 15.675
20 599 HAMBUECHEN Fabian GER 6.300 9.325 15.625
21 553 LIANG Fuliang CHN 6.300 9.300 15.600
22 675 ZONDERLAND Epke NED 6.100 9.475 15.575
23 721 RYAZANOV Yury RUS 6.200 9.325 15.525
24 545 GOLDING Grant CAN 6.400 9.125 15.525
25 754 HORTON Jonathan USA 6.400 9.100 15.500
26 598 GIORGADZE Ilia GEO 6.100 9.375 15.475
27 730 BOESCHENSTEIN N. SUI 6.100 9.375 15.475
28 582 CARBALLO Manuel ESP 6.000 9.450 15.450
29 603 NGUYEN Marcel GER 6.000 9.450 15.450
30 723 SAFOSHKIN Alexander RUS 6.400 9.050 15.450
31 643 VALEYEV Ildar KAZ 6.600 8.850 15.450
32 720 DEVIATOVSKI Maxim RUS 6.600 8.825 15.425
33 590 KARBANENKO Dimitri FRA 6.000 9.400 15.400
34 753 ARTEMEV Alexander USA 6.100 9.300 15.400
35 647 KIM Soo Myun KOR 6.300 9.050 15.350
36 511 JEFFERIS Joshua AUS 6.200 9.125 15.325
37 697 RO Chol Jin PRK 6.400 8.925 15.325
38 757 TAN Kai Wen USA 6.000 9.300 15.300
39 687 HULBOJ Kamil POL 6.100 9.175 15.275
40 533 DOS ANJOS Luiz BRA 6.100 9.100 15.200
41 602 SPIRIDONOV Eugen GER 5.900 9.275 15.175
42 762 FUENTES Jose Luis VEN 6.000 9.175 15.175
43 604 BOY Philipp GER 6.200 8.975 15.175
44 595 KEATINGS Daniel GBR 5.900 9.250 15.150
45 587 CARANOBE Benoit FRA 6.100 9.025 15.125
46 708 RAMOS Tommy PUR 5.800 9.300 15.100
47 731 CAPELLI Claudio SUI 5.800 9.300 15.100
48 798 SANDY Casey CAN 6.000 9.100 15.100
49 586 BENY Pierre­Yves FRA 6.100 9.000 15.100
50 712 SELARIU Dorin Razvan ROU 5.900 9.175 15.075
51 755 DURANTE David USA 6.100 8.975 15.075
52 526 KASPIAROVICH Dimitri BLR 6.500 8.575 15.075
53 547 KIKUCHI David CAN 5.700 9.350 15.050
