rank bib last_name first_name country diff exec total qual
1 555 XIAO Qin CHN 6.600 9.675 16.275 Q
2 615 BERKI Krisztian HUN 6.400 9.525 15.925 Q
3 596 SMITH Louis GBR 6.500 9.325 15.825 Q
4 595 KEATINGS Daniel GBR 6.500 9.175 15.675 Q
5 529 IHNATOVICH Alexei BLR 6.100 9.400 15.500 Q
6 554 YANG Wei CHN 6.200 9.275 15.475 Q
7 552 HUANG Xu CHN 6.000 9.375 15.375
8 753 ARTEMEV Alexander USA 6.000 9.375 15.375 Q
9 634 TOMITA Hiroyuki JPN 6.100 9.275 15.375 Q
10 714 KOCZI Flavius ROU 6.100 9.250 15.350 R
11 648 KIM Ji Hoon KOR 5.900 9.425 15.325 R
12 631 BUSNARI Alberto ITA 6.100 9.200 15.300 R
13 786 MALITA Cosmin ROU 6.000 9.250 15.250
14 514 SELLATHURAI P. AUS 6.600 8.600 15.200
15 553 LIANG Fuliang CHN 6.100 9.050 15.150
16 713 POPESCU Ilie Daniel ROU 6.200 8.950 15.150
17 720 DEVIATOVSKI Maxim RUS 5.900 9.225 15.125
18 561 SELIGMAN Robert CRO 6.200 8.900 15.100
19 742 HUANG Che Kuei TPE 5.900 9.175 15.075
20 527 TSAREVICH Aliaksandr BLR 5.800 9.225 15.025
21 762 FUENTES Jose Luis VEN 6.000 9.000 15.000
22 635 KUWAHARA Shun JPN 5.800 9.150 14.950
23 705 RIVERA Luis PUR 5.900 9.025 14.925
24 602 SPIRIDONOV Eugen GER 5.700 9.200 14.900
25 758 FOKIN Anton UZB 5.800 9.100 14.900
26 699 RODRIGUEZ Alexander PUR 6.000 8.875 14.875
27 523 TRUYENS Donna­Donny BEL 6.700 8.175 14.875
28 577 MARTINEZ Rafael ESP 5.600 9.250 14.850
29 560 UDE Filip CRO 6.200 8.575 14.775
30 551 CHEN Yibing CHN 5.500 9.250 14.750
31 724 KRYUKOV Nikolai RUS 6.100 8.650 14.750
32 657 TREFILOVS Dimitri LAT 6.100 8.650 14.750
33 601 JUCKEL Robert GER 5.600 9.100 14.700
34 696 RI Se Gwang PRK 5.700 8.975 14.675
35 798 SANDY Casey CAN 6.000 8.675 14.675
36 604 BOY Philipp GER 5.800 8.850 14.650
37 546 IKEDA Ken CAN 5.800 8.800 14.600
38 757 TAN Kai Wen USA 5.500 9.075 14.575
39 746 GONCHAROV Valeriy UKR 5.500 9.075 14.575
40 637 HOSHI Yosuke JPN 5.600 8.950 14.550
41 735 MANNHART Dennis SUI 5.400 9.100 14.500
42 755 DURANTE David USA 5.500 9.000 14.500
43 795 WILLIG Arnaud FRA 5.300 9.175 14.475
44 557 GIRALDO Jorge Hugo COL 5.400 9.075 14.475
45 712 SELARIU Dorin Razvan ROU 5.500 8.975 14.475
46 721 RYAZANOV Yury RUS 5.500 8.950 14.450
47 515 SIMPSON Samuel AUS 5.800 8.650 14.450
48 586 BENY Pierre­Yves FRA 5.900 8.550 14.450
49 731 CAPELLI Claudio SUI 5.400 9.025 14.425
50 638 MIZUTORI Hisashi JPN 6.100 8.325 14.425
51 739 THITIPONG Sukdee THA 6.200 8.225 14.425
52 547 KIKUCHI David CAN 5.500 8.900 14.400
53 558 MESA Fabian Arley COL 5.700 8.675 14.375
