rank bib last_name first_name country diff exec total qual
1 452 SHIRAI Kenzo JPN 7.400 8.833 16.233 Q
2 335 HYPOLITO Diego BRA 6.900 8.700 15.600 Q
3 450 UCHIMURA Kohei JPN 6.400 8.933 15.333 Q
4 406 HAMBUECHEN Fabian GER 6.300 8.966 15.266 Q
5 398 PURVIS Daniel GBR 6.500 8.766 15.266 Q
6 543 DALTON Jacob USA 6.500 8.666 15.166 Q
7 345 MORGAN Scott CAN 6.400 8.700 15.100 Q
8 544 LEGENDRE Steven USA 6.800 8.391 0.1 15.091 Q
9 545 MIKULAK Samuel USA 6.200 8.933 0.1 15.033
10 479 SCHMIDT Casimir NED 6.300 8.700 15.000 R
11 332 SASAKI JUNIOR Sergio BRA 6.700 8.400 0.1 15.000 R
12 410 FAHRIG Matthias GER 7.000 8.100 0.1 15.000 R
13 440 SMITH Andrew IRL 6.000 8.966 14.966
14 508 BELYAVSKIY David RUS 6.400 8.566 14.966
15 451 KATO Ryohei JPN 6.700 8.533 0.3 14.933
16 499 KOCZI Flavius ROU 7.000 7.933 14.933
17 344 LYTWYN Kevin CAN 6.200 8.700 14.900
18 412 KOSMIDIS Eleftherios GRE 6.700 8.300 0.1 14.900
19 537 VERNIAIEV Oleg UKR 6.500 8.366 14.866
20 382 ABAD Nestor ESP 6.100 8.733 14.833
21 365 MARKOVIC Tomislav CRO 6.300 8.633 0.1 14.833
22 380 GONZALEZ Fabian ESP 6.200 8.600 14.800
23 333 OYAKAWA MARIANO Arthur BRA 6.400 8.400 14.800
24 386 VEKKI Sakari FIN 6.400 8.366 14.766
25 478 DEURLOO Bart NED 5.900 8.833 14.733
26 350 ZHOU Shixiong CHN 6.500 8.433 0.2 14.733
27 388 KIRMES Karl Oskar FIN 5.900 8.733 14.633
28 464 KIM Hee Hoon KOR 6.400 8.500 0.3 14.600
29 558 HOANG Cuong VIE 6.600 8.100 0.1 14.600
30 507 ABLIAZIN Denis RUS 7.200 7.900 0.5 14.600
31 498 RAMOS RIVERA Angel PUR 6.000 8.666 0.1 14.566
32 351 LIN Chaopan CHN 6.100 8.566 0.1 14.566
33 304 MELCHIORI Juan Sebastian ARG 5.800 8.733 14.533
34 396 WHITLOCK Max GBR 6.700 8.133 0.3 14.533
35 329 BULAUSKI Pavel BLR 5.900 8.600 14.500
