rank bib last_name first_name country diff exec total qual
1 281 ZOU K CHN 6.900 8.800 15.700 Q
2 425 DRAGULESCU M ROU 6.700 8.866 15.566 Q
3 163 SHATILOV A ISR 6.700 8.800 15.500 Q
4 262 HYPOLITO D BRA 6.800 8.700 15.500 Q
5 362 UCHIMURA K JPN 6.500 8.966 15.466 Q
6 465 LEGENDRE S USA 6.800 8.633 15.433 Q
7 118 GONZALEZ SEPULVEDA CHI 6.500 8.900 15.400 Q
8 422 KOCZI F ROU 6.600 8.800 15.400 Q
9 462 DALTON J USA 6.600 8.766 15.366 R1
10 144 KOSMIDIS E GRE 6.700 8.766 0.1 15.366 R2
11 275 ONEILL B CAN 6.400 8.933 15.333 R3
12 322 PURVIS D GBR 6.500 8.700 15.200
13 284 ZHANG C CHN 6.700 8.466 15.166
14 313 BOUHAIL T FRA 6.200 8.933 15.133
15 324 THOMAS K GBR 6.300 8.833 15.133
16 315 da SILVA G FRA 6.200 8.900 15.100
17 306 BOTELLA PEREZ I ESP 6.500 8.566 15.066
18 116 PENEV E BUL 6.600 8.466 15.066
19 435 BELYAVSKIY D RUS 6.200 8.833 15.033
20 366 OKIGUCHI M JPN 6.300 8.666 14.966
21 271 LYTWYN K CAN 6.000 8.900 14.900
22 452 KUKSENKOV M UKR 6.100 8.800 14.900
23 437 GOLOTSUTSKOV A RUS 6.400 8.600 0.1 14.900
24 463 HORTON J USA 6.400 8.500 14.900
25 323 KEATINGS D GBR 6.300 8.566 14.866
26 436 ABLYAZIN D RUS 6.900 8.233 0.3 14.833
27 464 LEYVA D USA 6.100 8.700 14.800
28 471 FOKIN A UZB 6.000 8.766 14.766
29 305 GONZALEZ F ESP 6.300 8.466 14.766
30 152 KUMAR A IND 6.300 8.533 0.1 14.733
31 334 HAMBUECHEN F GER 5.800 8.875 14.675
32 336 SPIRIDONOV E GER 6.000 8.666 14.666
33 246 PICHLER T AUS 6.300 8.366 14.666
34 217 BOUALLEGUE W TUN 6.500 8.266 0.1 14.666
35 385 KIM SM KOR 6.000 8.633 14.633
36 302 MARTINEZ R ESP 6.200 8.433 14.633
37 272 GAFUIK N CAN 5.800 8.800 14.600
38 355 POZZO E ITA 6.000 8.600 14.600
39 454 STEPKO O UKR 6.100 8.500 14.600
40 433 KHOROKHORDIN S RUS 5.900 8.666 14.566
41 387 YANG HS KOR 6.000 8.566 14.566
42 383 KIM S KOR 5.800 8.733 14.533
43 423 BATAGA CI ROU 6.000 8.533 14.533
44 365 YAMAMURO K JPN 6.100 8.433 14.533
45 293 CALVO MORENO JO COL 6.400 8.133 14.533
46 180 LOPEZ VIANA S MEX 6.400 8.133 14.533
47 325 PANTELEYMONOV R GBR 5.800 8.700 14.500
48 412 MORALES­CASADO R PUR 5.800 8.700 14.500
49 188 KOUDINOV M NZL 5.900 8.600 14.500
50 156 BEHAN K IRL 6.000 8.500 14.500
51 276 PAYNE J CAN 5.900 8.566 14.466
52 333 NGUYEN M GER 6.500 8.266 0.3 14.466
53 382 CHOI JS KOR 5.800 8.658 14.458
54 432 GARIBOV E RUS 5.700 8.833 0.1 14.433
55 317 TOMMASONE C FRA 5.800 8.633 14.433
