rank bib last_name first_name country diff exec total qual
1 285 FENG Z CHN 6.800 8.708 15.508 Q
2 314 CUCHERAT Y FRA 6.400 9.033 15.433 Q
3 284 ZHANG C CHN 6.500 8.900 15.400 Q
4 362 UCHIMURA K JPN 6.400 8.991 15.391 Q
5 426 BERBECAR MD ROU 6.400 8.966 15.366 Q
6 464 LEYVA D USA 6.400 8.966 15.366 Q
7 363 TANAKA K JPN 6.800 8.566 15.366 Q
8 145 TSOLAKIDIS V GRE 6.500 8.800 15.300 Q
9 287 GUO W CHN 6.300 8.941 15.241
10 332 BOY P GER 6.300 8.933 15.233 R1
11 367 TANAKA Y JPN 6.400 8.766 15.166
12 471 FOKIN A UZB 6.500 8.666 15.166 R2
12 194 KIERZKOWSKI A POL 6.500 8.666 15.166 R2
14 322 PURVIS D GBR 6.400 8.733 15.133
15 333 NGUYEN M GER 6.500 8.633 15.133
16 334 HAMBUECHEN F GER 6.500 8.600 15.100
17 282 TENG H CHN 6.600 8.500 15.100
18 432 GARIBOV E RUS 6.200 8.833 15.033
19 467 OROZCO J USA 6.400 8.633 15.033
20 463 HORTON J USA 6.200 8.766 14.966
21 255 TSAREVICH A BLR 6.400 8.541 14.941
22 273 IKEDA K CAN 6.100 8.833 14.933
23 272 GAFUIK N CAN 5.800 9.100 14.900
24 394 ZONDERLAND E NED 6.000 8.900 14.900
25 224 HA THANH N VIE 6.600 8.266 14.866
26 446 BUCHER P SUI 6.100 8.700 14.800
27 267 FOURO da SILVA P BRA 6.000 8.766 14.766
28 454 STEPKO O UKR 6.300 8.466 14.766
29 443 CAPELLI C SUI 6.100 8.600 14.700
30 326 OLDHAM S GBR 5.700 8.983 14.683
31 246 PICHLER T AUS 5.700 8.966 14.666
32 276 PAYNE J CAN 6.100 8.566 14.666
33 452 KUKSENKOV M UKR 6.300 8.366 14.666
34 317 TOMMASONE C FRA 5.900 8.733 14.633
35 304 GOMEZ FUERTES J ESP 6.000 8.633 14.633
36 254 LIKHOVITSKIY A BLR 5.700 8.908 14.608
37 301 LOPEZ R ESP 5.800 8.800 14.600
38 195 KULESZA R POL 6.300 8.300 14.600
39 148 SHEK WH HKG 5.900 8.666 14.566
40 453 NAKONECHNYI V UKR 5.900 8.666 14.566
41 302 MARTINEZ R ESP 6.000 8.566 14.566
42 433 KHOROKHORDIN S RUS 6.100 8.466 14.566
43 364 KOBAYASHI K JPN 6.500 8.066 14.566
44 462 DALTON J USA 6.200 8.358 14.558
45 242 JEFFERIS J AUS 5.800 8.733 14.533
46 253 KASPIAROVICH D BLR 6.000 8.533 14.533
47 335 KRIMMER S GER 6.000 8.533 14.533
48 336 SPIRIDONOV E GER 5.800 8.716 14.516
49 203 DIMIC A SLO 5.800 8.700 14.500
50 179 CORRAL BARRON D MEX 6.700 7.800 14.500
51 163 SHATILOV A ISR 5.700 8.766 14.466
52 294 SANDOVAL AFANADOR COL 5.800 8.666 14.466
53 383 KIM S KOR 6.200 8.266 14.466
54 316 SABOT H FRA 6.500 7.966 14.466
55 243 WIWATOWSKI L AUS 5.800 8.650 14.450
